Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50
2001-06-15,77.99559783935547,35.98102188110352,36.02766799926758,,,
2001-06-18,77.61795043945312,35.49958038330078,35.79789352416992,,,
2001-06-19,77.95720672607422,35.322208404541016,35.898216247558594,,,
2001-06-20,78.36686706542969,36.124603271484375,36.2768440246582,,,
2001-06-21,79.25659942626953,36.614501953125,36.56808853149414,,,
2001-06-22,78.63573455810547,36.530033111572266,36.33509826660156,,,
2001-06-25,77.91239166259766,36.6229362487793,36.101505279541016,,,
2001-06-26,77.80357360839844,36.74961853027344,36.0074348449707,,,
2001-06-27,77.75878143310547,36.986114501953125,36.010677337646484,,,
2001-06-28,78.18763732910156,37.459110260009766,36.45187377929688,,,
2001-06-29,78.47566986083984,38.59935760498047,36.65950775146485,,,
2001-07-02,79.45499420166016,38.38818359375,36.75683975219727,,,
2001-07-03,79.435791015625,38.54867172241211,36.73736572265625,,,
2001-07-05,77.88678741455078,36.69893646240234,36.318878173828125,,,
2001-07-06,76.20335388183594,35.17862701416016,35.36183547973633,,,
2001-07-09,76.61941528320312,35.48267364501953,35.58893585205078,,,
2001-07-10,75.69764709472656,34.2072868347168,35.118534088134766,,,
2001-07-11,75.77447509765625,34.62961959838867,35.16394805908203,,,
2001-07-12,77.57311248779297,36.82563018798828,35.997703552246094,,,
2001-07-13,78.24525451660156,36.445560455322266,36.16962814331055,,,
2001-07-16,77.26591491699219,35.769859313964844,35.75112533569336,,,
2001-07-17,77.9892349243164,36.572261810302734,36.17287826538086,,,
2001-07-18,77.45794677734375,35.17862701416016,35.79654693603516,,,
2001-07-19,78.13640594482422,36.01481628417969,35.997703552246094,,,
2001-07-20,77.6691665649414,35.17862701416016,36.00094223022461,,,
2001-07-23,76.13931274414062,34.30021286010742,35.378055572509766,,,
2001-07-24,75.40324401855469,33.91169738769531,34.88819885253906,,,
2001-07-25,76.23533630371094,34.2072868347168,35.329383850097656,,,
2001-07-26,77.03545379638672,34.71407699584961,35.780330657958984,,,
2001-07-27,77.32992553710938,35.4319953918457,35.84196853637695,,,
2001-07-30,77.35549926757812,35.22085952758789,35.81277847290039,,,
2001-07-31,77.67559051513672,35.27152633666992,35.95876693725586,,,
2001-08-01,78.16201782226562,36.40330123901367,36.11449432373047,,,
2001-08-02,78.48207092285156,37.08748626708984,36.22803115844727,,,
2001-08-03,78.0531997680664,36.47090530395508,36.101505279541016,,,
2001-08-06,77.00342559814453,35.89656066894531,35.686256408691406,,,
2001-08-07,77.3042984008789,35.71072769165039,35.75112533569336,,,
2001-08-08,75.87051391601562,34.2072868347168,35.1022834777832,,,
2001-08-09,76.09452819824219,34.35087966918945,35.206111907958984,,,
2001-08-10,76.3569564819336,34.02149200439453,35.34883117675781,,,
2001-08-13,76.37617492675781,34.71407699584961,35.410491943359375,,,
2001-08-14,76.3441390991211,34.29176330566406,35.33262634277344,,,
2001-08-15,75.68488311767578,33.02481460571289,35.027679443359375,,,
2001-08-16,75.9472885131836,33.4133415222168,35.13472366333008,,,
2001-08-17,74.73109436035156,31.89303970336914,34.59945297241211,,,
2001-08-20,75.42240905761719,32.33221435546875,34.842750549316406,,,
2001-08-21,74.13581848144531,30.98928451538086,34.35613250732422,,,
2001-08-22,74.9039535522461,31.83390998840332,34.67405319213867,,,
2001-08-23,74.63511657714844,31.521398544311523,34.628665924072266,,,
2001-08-24,76.18414306640625,33.19375991821289,35.26127243041992,77.0848780822754,35.24044731140137,35.697272872924806
2001-08-27,75.72966766357422,33.23598861694336,35.13472366333008,77.03955947875977,35.18554664611816,35.67941398620606
2001-08-28,74.62227630615234,32.19709396362305,34.547550201416016,76.97964599609375,35.11949691772461,35.65440711975098
2001-08-29,73.95660400390625,31.724103927612305,34.223114013671875,76.8996339416504,35.04753482818604,35.62090507507324
2001-08-30,72.53556823730469,30.55008316040039,33.71054458618164,76.78300796508789,34.936044425964354,35.56957908630371
2001-08-31,73.06688690185547,30.938594818115234,33.8532829284668,76.65921371459962,34.82252628326416,35.51528297424316
2001-09-04,72.59957122802734,29.958850860595703,33.674842834472656,76.53849044799804,34.69110263824463,35.462077865600584
2001-09-05,72.77884674072266,29.8405990600586,33.62617111206055,76.43581954956055,34.555455894470214,35.41257118225098
2001-09-06,70.9033432006836,28.632787704467773,32.94490051269531,76.29781494140624,34.3931192779541,35.35132049560547
2001-09-07,69.59112548828125,28.463844299316406,32.27986145019531,76.13446182250976,34.222673873901364,35.276704177856445
2001-09-10,70.44245910644531,28.801713943481445,32.52315902709961,75.97955825805664,34.0495259475708,35.1981298828125
2001-09-17,66.76195526123047,26.35229682922364,30.97891426086425,75.74528396606445,33.804584732055666,35.08451801300049
2001-09-18,66.60194396972656,25.76105690002441,30.5831241607666,75.48822296142578,33.552042198181155,34.961043701171874
